MSFT,INTC,GIS,AMD,NVDA,JNJ,AMZN,PFE,MCD,FDX,Date
254.149994,25.530001,79.040001,82.110001,232.880005,154.089996,93.550003,40.34,267.130005,206.320007,3/7/2023
253.699997,25.98,79.169998,85.370003,241.809998,152.960007,93.919998,40.119999,265.329987,209.539993,3/8/2023
252.320007,26.440001,78.639999,84.029999,234.360001,151.240005,92.25,39.459999,261.630005,207.830002,3/9/2023
248.589996,27.219999,78.519997,82.669998,229.649994,151.610001,90.730003,39.389999,262.029999,201.190002,3/10/2023
253.919998,26.950001,79.790001,82.010002,229.660004,153.059998,92.43,39.860001,263.079987,197.389999,3/13/2023
260.790009,28.01,80.160004,87.449997,240.630005,153.919998,94.879997,39.900002,265.899994,197.889999,3/14/2023
265.440002,28.41,80.949997,89.68,242.279999,154.350006,96.199997,40.279999,266.339996,195.300003,3/15/2023
276.200012,30.18,80.470001,96.599998,255.410004,154.029999,100.040001,40.369999,270.570007,204.050003,3/16/2023
279.429993,29.809999,79.790001,97.839996,257.25,152.380005,98.949997,40.099998,267.200012,220.309998,3/17/2023
272.230011,29.16,80.650002,96.809998,259,153.889999,97.709999,40.810001,270.73999,216.240005,3/20/2023
273.779999,28.459999,80.75,95.93,261.98999,153.889999,100.610001,40.66,270.209991,219.830002,3/21/2023
272.290009,28.129999,79.870003,97.580002,264.679993,151.050003,98.699997,40.009998,267.869995,217.059998,3/22/2023
277.660004,29.030001,82.150002,100.279999,271.910004,151.130005,98.709999,40.18,269.619995,216.919998,3/23/2023
280.570007,29.360001,84.800003,97.949997,267.790009,152.649994,98.129997,40.389999,271.329987,217.600006,3/24/2023
276.380005,29.18,84.879997,96.610001,265.309998,153.300003,98.040001,40.220001,273.839996,219.820007,3/27/2023
275.230011,29.290001,84.769997,94.559998,264.100006,151.820007,97.239998,39.990002,275.850006,220.440002,3/28/2023
280.51001,31.52,85.029999,96.089996,269.839996,153.309998,100.25,40.25,277.440002,223.649994,3/29/2023
284.049988,32.09,84.959999,97.879997,273.829987,153.429993,102,40.380001,277.790009,224.399994,3/30/2023
288.299988,32.669998,85.459999,98.010002,277.769989,155,103.290001,40.799999,279.609985,228.490005,3/31/2023
287.230011,32.889999,85.919998,96.559998,279.649994,156.850006,102.410004,41.349998,282.140015,228.839996,4/3/2023
287.179993,33.099998,86.07,95.870003,274.529999,158.490005,103.949997,40.900002,282.279999,226.490005,4/4/2023
284.339996,32.830002,87.059998,92.559998,268.809998,165.610001,101.099998,41.549999,282.019989,229.929993,4/5/2023
291.600006,32.810001,86.900002,92.470001,270.369995,165.149994,102.059998,41.5,282.890015,232.100006,4/6/2023
289.390015,32.52,86.349998,95.480003,275.790009,164.320007,102.169998,41.73,283.779999,231.600006,4/10/2023
282.829987,32.349998,87.059998,94.029999,271.690002,164.270004,99.919998,41.790001,284.480011,231.529999,4/11/2023
283.48999,32.02,87.010002,92.330002,264.950012,163.919998,97.830002,41.369999,285.299988,229.470001,4/12/2023
289.839996,32.130001,86.949997,92.089996,264.630005,166.110001,102.400002,41.470001,289.070007,231.070007,4/13/2023
286.140015,31.889999,86.559998,91.75,267.579987,165.839996,102.510002,41.189999,288.980011,230.690002,4/14/2023
288.799988,32.139999,87.089996,89.870003,270.019989,165.669998,102.739998,41.18,289.309998,229.309998,4/17/2023
288.369995,31.83,87.480003,89.779999,276.670013,161.009995,102.300003,40.549999,290.910004,229.210007,4/18/2023
288.450012,31.15,87.129997,89.940002,279.309998,162.529999,104.300003,40.240002,291.269989,229.490005,4/19/2023
286.109985,30.860001,87.57,90.110001,271.040009,163.580002,103.809998,39.849998,291,229.380005,4/20/2023
285.76001,30.299999,87.449997,88.43,271.190002,162.690002,106.959999,40.209999,292.059998,230.440002,4/21/2023
281.769989,29.66,87.620003,87.57,270.420013,163.679993,106.209999,39.91,293.200012,232.160004,4/24/2023
275.420013,28.879999,88.5,83.800003,262.410004,165.179993,102.57,39.330002,291.51001,225.470001,4/25/2023
295.369995,29.049999,87.879997,85.940002,269.559998,162.619995,104.980003,38.630001,289.76001,222.770004,4/26/2023
304.829987,29.860001,88.790001,87.440002,272.26001,163,109.82,38.740002,294.720001,225.940002,4/27/2023
307.26001,31.059999,88.629997,89.370003,277.48999,163.699997,105.449997,38.889999,295.75,227.779999,4/28/2023
305.559998,30.299999,89.370003,89.690002,289.100006,163.600006,102.050003,39.209999,297.579987,230.580002,5/1/2023
305.410004,29.77,89,89.910004,282.100006,165.029999,103.629997,39.060001,298.070007,228.399994,5/2/2023
304.399994,30.65,88.830002,81.620003,278.019989,162.869995,103.650002,38.450001,295.220001,228.520004,5/3/2023
305.410004,31.24,89.400002,86.610001,275.619995,162.130005,104,38.23,295.160004,226.369995,5/4/2023
310.649994,30.99,89.809998,89.839996,286.799988,162.679993,105.660004,38.490002,296.600006,229.300003,5/5/2023
308.649994,30.77,89.870003,95.040001,291.51001,162.309998,105.830002,38.669998,296.690002,230.729996,5/8/2023
307,30.1,89.589996,95.059998,285.709991,161.050003,106.620003,38.48,296.660004,228.630005,5/9/2023
312.309998,29.969999,89.57,97.019997,288.850006,161.649994,110.190002,38.299999,296.570007,226.330002,5/10/2023
310.109985,28.860001,90.260002,97.099998,285.779999,160.990005,112.18,37.580002,294.790009,224.839996,5/11/2023
308.970001,28.950001,90.610001,95.260002,283.399994,160.779999,110.260002,37.349998,296.140015,222.929993,5/12/2023
309.459991,29.799999,90.290001,97.400002,289.529999,159.550003,111.199997,37.16,295.899994,222.419998,5/15/2023
311.73999,29.219999,90.260002,101.480003,292.130005,159.339996,113.400002,37.009998,294.149994,221.270004,5/16/2023
314,28.870001,89.849998,103.75,301.779999,158.990005,115.5,36.75,293.459991,225.889999,5/17/2023
318.519989,29.68,88.5,107.93,316.779999,158.479996,118.150002,36.48,294.049988,230.429993,5/18/2023
318.339996,29.93,87.629997,105.82,312.640015,158.910004,116.25,36.77,295.549988,229.080002,5/19/2023
321.179993,30.280001,85.699997,108,311.76001,156.869995,115.010002,38.75,289.350006,228.679993,5/22/2023
315.26001,29.51,85.470001,108.120003,306.880005,156.809998,114.989998,39.639999,286.369995,226.639999,5/23/2023
313.850006,29,85.07,108.269997,305.380005,156.660004,116.75,38.630001,285.920013,223.550003,5/24/2023
325.920013,27.4,84.510002,120.349998,379.799988,154.410004,115,37.830002,285.519989,225.080002,5/25/2023
332.890015,29,84.18,127.029999,389.459991,154.350006,120.110001,37.599998,286.040009,224.149994,5/26/2023
331.209991,29.99,83.269997,125.269997,401.109985,154.369995,121.660004,37.009998,284.920013,226.139999,5/30/2023
328.390015,31.440001,84.160004,118.209999,378.339996,155.059998,120.580002,38.02,285.109985,217.979996,5/31/2023
332.579987,31.129999,83.889999,119.470001,397.700012,154.539993,122.769997,38.02,287.869995,217.289993,6/1/2023
335.399994,31.309999,84.589996,117.860001,393.269989,156.970001,124.25,38.360001,289.910004,221.740005,6/2/2023
335.940002,29.860001,85.239998,117.93,391.709991,158.320007,125.300003,38.650002,288.429993,221.080002,6/5/2023
333.679993,30.959999,83.779999,124.230003,386.540009,158.179993,126.610001,38.369999,284.540009,219.5,6/6/2023
323.380005,31.280001,81.5,117.830002,374.75,158.520004,121.230003,38.889999,281.899994,224.600006,6/7/2023
325.26001,31.82,82.650002,121.050003,385.100006,160.259995,124.25,39.09,285.779999,225.009995,6/8/2023
326.790009,31.34,82.300003,124.919998,387.700012,160.009995,123.43,38.970001,286.790009,223.759995,6/9/2023
331.850006,33.07,81.580002,129.190002,394.820007,159.899994,126.57,39.900002,288.570007,224.550003,6/12/2023
334.290009,33.91,80.730003,124.529999,410.220001,160.740005,126.660004,40.279999,288.549988,228.869995,6/13/2023
337.339996,35.580002,80.650002,127.330002,429.970001,161.559998,126.419998,39.360001,288.440002,229.669998,6/14/2023
348.100006,35.82,80.709999,124.239998,426.529999,163.729996,127.110001,39.75,292.609985,236.440002,6/15/2023
342.329987,36.369999,80.709999,120.080002,426.920013,164.229996,125.489998,40.060001,293.700012,233.460007,6/16/2023
338.049988,35,80.639999,118.93,438.079987,164.130005,125.779999,39.34,293.040009,231.649994,6/20/2023
333.559998,32.900002,81.379997,112.110001,430.450012,163.880005,124.830002,38.900002,294.519989,225.839996,6/21/2023
339.709991,32.709999,81.300003,110.699997,430.25,165.619995,130.149994,38.73,293.299988,232.929993,6/22/2023
335.019989,33,81.32,110.010002,422.089996,165.479996,129.330002,38.299999,289.910004,232.339996,6/23/2023
328.600006,33.34,81.860001,107.510002,406.320007,163.630005,127.330002,36.889999,289.089996,234.929993,6/26/2023
334.570007,34.099998,80.900002,110.389999,418.76001,163.289993,129.179993,36.419998,291.299988,246.759995,6/27/2023
335.850006,33.57,76.720001,110.169998,411.170013,162.960007,129.039993,36.290001,291.73999,248.440002,6/28/2023
335.049988,32.91,76.300003,111.239998,408.220001,164.100006,127.900002,36.119999,294.470001,249.979996,6/29/2023
340.540009,33.439999,76.699997,113.910004,423.019989,165.520004,130.360001,36.68,298.410004,247.899994,6/30/2023
337.98999,33.619999,77.120003,115.82,424.130005,163.350006,130.220001,36.650002,294.839996,247.550003,7/3/2023
338.149994,32.509998,77.309998,113.949997,423.170013,162.809998,130.380005,36.459999,296.899994,248.320007,7/5/2023
341.269989,31.969999,76.43,113.480003,421.029999,161.600006,128.360001,35.630001,294.920013,247.669998,7/6/2023
337.220001,31.85,75.169998,113.169998,425.029999,159.25,129.779999,35.529999,292.100006,251.25,7/7/2023
331.829987,32.740002,74.790001,113.580002,421.799988,159.509995,127.129997,35.68,294.48999,251.690002,7/10/2023
332.470001,33.299999,75.080002,111.32,424.049988,158.630005,128.779999,36.02,294.73999,258.399994,7/11/2023
337.200012,33.98,74.949997,114.580002,439.019989,158.080002,130.800003,35.990002,295.609985,261.609985,7/12/2023
342.660004,33.869999,74.790001,115.919998,459.769989,158.809998,134.300003,36.060001,295.220001,258.459991,7/13/2023
345.23999,33.150002,75.010002,115.940002,454.690002,159.869995,134.679993,36.32,294.940002,257.450012,7/14/2023
345.730011,34.369999,74.309998,118.32,464.609985,159.070007,133.559998,35.860001,294.679993,254.729996,7/17/2023
359.48999,34.5,74.309998,117.93,474.940002,159.059998,132.830002,36.240002,293.820007,261.970001,7/18/2023
355.079987,34.459999,75.209999,116.43,470.769989,158.740005,135.360001,36.439999,294.130005,260.26001,7/19/2023
